Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
570,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 1, 2025",07:44,F9B5,Success ( JRTI
571,Vandenberg,Starlink,"~15,525 kg",LEO,SpaceX,Success,"December 2, 2025",05:28,F9B5,Success ( OCISLY
572,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 2, 2025",22:18,F9B5,Success ( ASOG
573,Vandenberg,Starlink,"~16,100 kg",LEO,SpaceX,Success,"December 4, 2025",20:42,F9B5,Success ( OCISLY
574,Vandenberg,Starlink,"~16,100 kg",LEO,SpaceX,Success,"December 7, 2025",17:58,F9B5,Success ( OCISLY
575,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 8, 2025",22:26,F9B5,Success ( ASOG
576,Cape Canaveral,NROL-77,U,LEO,NRO,Success,"December 9, 2025",19:16,F9B5,Success ( LZ‑2
577,Vandenberg,Starlink,"~15,525 kg",LEO,SpaceX,Success,"December 10, 2025",11:40,F9B5,Success ( OCISLY
578,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 11, 2025",22:01,F9B5,Success ( JRTI
579,Vandenberg,Starlink,"~15,525 kg",LEO,SpaceX,Success,"December 14, 2025",05:49,F9B5,Success ( OCISLY
580,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 15, 2025",05:25,F9B5,Success ( ASOG
581,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,"December 17, 2025",13:42,F9B5,Success ( JRTI
582,Vandenberg,Starlink,"~15,525 kg",LEO,SpaceX,Success,"December 17, 2025",15:27,F9B5,Success ( OCISLY
583,Vandenberg,CSG-3,"2,230 kg",SSO,ASI,Success,"January 3, 2026",02:09,F9B5,Success ( LZ‑4
584,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 4, 2026",06:48,F9B5,Success ( JRTI
